fan_id,favorite_team,signup_date,watched_games,churned,cancel_date
254,PHI,2023-10-07,9,0,
255,NYK,2023-10-16,15,0,
256,TOR,2023-10-05,5,1,2023-11-25
257,TOR,2023-10-07,12,0,
258,LAL,2023-10-20,9,0,
259,MIA,2023-10-02,16,0,
260,GSW,2023-10-16,20,0,
261,BOS,2023-10-22,8,0,
262,MIL,2023-10-02,8,0,
263,NYK,2023-10-28,4,1,2024-01-20
264,HOU,2023-10-06,13,0,
265,TOR,2023-10-12,8,0,
266,PHI,2023-10-11,14,0,
267,PHX,2023-10-13,6,1,2023-12-15
268,NYK,2023-10-25,11,0,
269,HOU,2023-10-28,7,1,2023-11-26
270,LAL,2023-10-19,11,0,
271,SAC,2023-10-25,15,0,
272,GSW,2023-10-05,10,0,
273,NYK,2023-10-21,15,0,
274,MIA,2023-10-10,15,0,
275,BOS,2023-10-10,12,0,
276,LAL,2023-10-05,7,1,2024-01-02
277,BOS,2023-10-15,4,1,2023-12-09
278,MIA,2023-10-17,6,1,2023-12-31
279,SAC,2023-10-12,15,0,
280,GSW,2023-10-26,15,0,
281,LAL,2023-10-20,3,1,2023-12-10
282,PHX,2023-10-14,14,0,
283,MIA,2023-10-21,3,1,2024-01-13
284,NYK,2023-10-06,19,0,
285,CHI,2023-10-14,15,0,
286,DEN,2023-10-25,20,0,
287,LAL,2023-10-15,13,0,
288,PHX,2023-10-26,17,0,
289,PHX,2023-10-17,17,0,
290,SAC,2023-10-20,18,0,
291,GSW,2023-10-01,9,0,
292,NYK,2023-10-16,12,0,
293,MEM,2023-10-11,16,0,
294,SAC,2023-10-14,15,0,
295,DAL,2023-10-28,17,0,
296,NYK,2023-10-15,16,0,
297,HOU,2023-10-24,5,1,2023-12-30
298,MEM,2023-10-03,20,0,
299,BOS,2023-10-24,12,0,
300,HOU,2023-10-09,17,0,
301,GSW,2023-10-10,15,0,
302,TOR,2023-10-11,14,0,
303,MIL,2023-10-04,18,0,
304,HOU,2023-10-10,13,0,
305,ATL,2023-10-11,18,0,
306,TOR,2023-10-09,7,1,2023-11-17
307,PHI,2023-10-07,4,1,2023-12-28
308,ATL,2023-10-21,8,0,
309,LAL,2023-10-13,14,0,
310,MIA,2023-10-24,3,1,2023-12-10
311,DEN,2023-10-24,5,1,2023-12-23
312,CHI,2023-10-21,12,0,
313,MIA,2023-10-04,19,0,
314,LAL,2023-10-16,15,0,
315,SAC,2023-10-27,10,0,
316,GSW,2023-10-18,17,0,
317,SAC,2023-10-01,12,0,
318,DEN,2023-10-24,17,0,
319,DEN,2023-10-17,13,0,
320,BOS,2023-10-16,16,0,
321,MEM,2023-10-11,14,0,
322,BOS,2023-10-04,6,1,2023-10-21
323,DEN,2023-10-13,8,0,
324,TOR,2023-10-13,10,0,
325,HOU,2023-10-27,15,0,
326,DAL,2023-10-17,15,0,
327,CHI,2023-10-19,20,0,
328,LAL,2023-10-20,8,0,
329,ATL,2023-10-23,6,1,2023-12-19
330,LAL,2023-10-16,14,0,
331,DEN,2023-10-07,11,0,
332,CHI,2023-10-27,14,0,
333,GSW,2023-10-05,14,0,
334,MIL,2023-10-22,19,0,
335,GSW,2023-10-01,4,1,2023-11-06
336,GSW,2023-10-03,20,0,
337,LAL,2023-10-21,10,0,
338,PHI,2023-10-06,19,0,
339,ATL,2023-10-27,6,1,2023-11-23
340,MIA,2023-10-27,4,1,2023-11-15
341,SAC,2023-10-16,8,0,
342,MEM,2023-10-10,13,0,
343,LAL,2023-10-14,16,0,
344,ATL,2023-10-21,18,0,
345,SAC,2023-10-06,4,1,2023-12-19
346,NYK,2023-10-27,13,0,
347,MIA,2023-10-27,16,0,
348,PHX,2023-10-17,20,0,
349,MEM,2023-10-11,7,1,2023-12-22
350,LAL,2023-10-27,18,0,
351,PHX,2023-10-26,17,0,
352,MEM,2023-10-17,18,0,
353,MEM,2023-10-18,11,0,
354,TOR,2023-10-18,13,0,
355,HOU,2023-10-07,13,0,
356,MIL,2023-10-21,20,0,
357,NYK,2023-10-10,12,0,
358,DEN,2023-10-27,6,1,2023-11-17
359,SAC,2023-10-13,5,1,2023-10-30
360,TOR,2023-10-24,4,1,2023-12-10
361,CHI,2023-10-23,17,0,
362,MIA,2023-10-12,18,0,
363,DEN,2023-10-01,3,1,2023-11-14
364,NYK,2023-10-26,13,0,
365,NYK,2023-10-18,20,0,
366,BOS,2023-10-22,17,0,
367,PHI,2023-10-12,18,0,
368,GSW,2023-10-03,3,1,2023-11-08
369,DAL,2023-10-11,6,1,2023-12-16
370,GSW,2023-10-28,4,1,2024-01-04
371,PHX,2023-10-08,14,0,
372,GSW,2023-10-22,16,0,
373,ATL,2023-10-10,12,0,
374,NYK,2023-10-16,6,1,2023-11-20
375,LAL,2023-10-23,7,1,2023-12-09
376,PHI,2023-10-07,19,0,
377,DAL,2023-10-14,20,0,
378,TOR,2023-10-16,4,1,2023-12-24
379,SAC,2023-10-21,18,0,
380,MIA,2023-10-08,13,0,
381,NYK,2023-10-09,20,0,
382,MIA,2023-10-03,17,0,
383,GSW,2023-10-18,5,1,2023-11-12
384,DEN,2023-10-03,19,0,
385,DEN,2023-10-22,16,0,
386,GSW,2023-10-05,11,0,
387,MEM,2023-10-11,17,0,
388,ATL,2023-10-21,19,0,
389,HOU,2023-10-22,3,1,2023-11-30
390,MIL,2023-10-18,14,0,
391,SAC,2023-10-09,16,0,
392,BOS,2023-10-16,20,0,
393,DAL,2023-10-07,20,0,
394,MEM,2023-10-15,17,0,
395,MIA,2023-10-19,4,1,2023-11-17
396,DEN,2023-10-17,14,0,
397,LAL,2023-10-12,7,1,2024-01-08
398,BOS,2023-10-24,13,0,
399,LAL,2023-10-14,14,0,
400,HOU,2023-10-26,20,0,
401,GSW,2023-10-09,13,0,
402,PHI,2023-10-02,7,1,2023-12-20
403,HOU,2023-10-01,14,0,
404,DAL,2023-10-24,10,0,
405,NYK,2023-10-04,3,1,2023-12-13
406,DAL,2023-10-19,8,0,
407,MEM,2023-10-24,20,0,
408,BOS,2023-10-23,12,0,
409,GSW,2023-10-21,12,0,
410,MEM,2023-10-04,13,0,
411,ATL,2023-10-23,15,0,
412,NYK,2023-10-20,18,0,
413,ATL,2023-10-10,8,0,
414,MIA,2023-10-19,15,0,
415,DEN,2023-10-19,6,1,2023-11-21
416,DAL,2023-10-16,13,0,
417,HOU,2023-10-19,10,0,
418,HOU,2023-10-18,19,0,
419,DEN,2023-10-23,11,0,
420,DAL,2023-10-18,19,0,
421,PHX,2023-10-19,14,0,
422,HOU,2023-10-25,6,1,2024-01-12
423,MIL,2023-10-05,14,0,
424,PHI,2023-10-20,3,1,2023-11-04
425,DEN,2023-10-27,4,1,2024-01-15
426,DAL,2023-10-12,17,0,
427,TOR,2023-10-26,5,1,2024-01-18
428,DAL,2023-10-23,15,0,
429,CHI,2023-10-26,11,0,
430,TOR,2023-10-08,10,0,
431,CHI,2023-10-05,18,0,
432,PHI,2023-10-16,19,0,
433,GSW,2023-10-17,19,0,
434,BOS,2023-10-15,15,0,
435,PHX,2023-10-19,3,1,2023-12-09
436,CHI,2023-10-12,19,0,
437,TOR,2023-10-01,8,0,
438,SAC,2023-10-03,17,0,
439,PHI,2023-10-13,19,0,
440,CHI,2023-10-09,11,0,
441,HOU,2023-10-15,13,0,
442,BOS,2023-10-17,6,1,2023-11-21
443,SAC,2023-10-25,17,0,
444,GSW,2023-10-20,18,0,
445,BOS,2023-10-27,3,1,2023-12-03
446,MEM,2023-10-15,20,0,
447,DEN,2023-10-04,4,1,2023-12-26
448,NYK,2023-10-24,7,1,2024-01-20
449,MEM,2023-10-28,10,0,
450,BOS,2023-10-21,17,0,
451,NYK,2023-10-01,3,1,2023-12-24
452,ATL,2023-10-15,3,1,2024-01-04
453,NYK,2023-10-13,13,0,
454,LAL,2023-10-16,18,0,
455,GSW,2023-10-25,16,0,
456,GSW,2023-10-22,12,0,
457,DAL,2023-10-19,11,0,
458,CHI,2023-10-17,10,0,
459,PHI,2023-10-25,17,0,
460,CHI,2023-10-20,18,0,
461,DEN,2023-10-15,11,0,
462,PHI,2023-10-09,4,1,2023-10-25
463,DEN,2023-10-21,18,0,
464,ATL,2023-10-23,9,0,
465,DEN,2023-10-15,5,1,2023-11-22
466,MEM,2023-10-06,4,1,2023-11-13
467,MIL,2023-10-19,16,0,
468,BOS,2023-10-16,19,0,
469,LAL,2023-10-10,18,0,
470,MIA,2023-10-20,18,0,
471,CHI,2023-10-19,9,0,
472,CHI,2023-10-15,19,0,
473,DAL,2023-10-27,5,1,2023-11-16
474,ATL,2023-10-15,7,1,2023-12-03
475,TOR,2023-10-19,16,0,
476,NYK,2023-10-16,10,0,
477,MEM,2023-10-24,17,0,
478,GSW,2023-10-03,9,0,
479,CHI,2023-10-24,18,0,
480,SAC,2023-10-23,4,1,2023-12-14
481,MIL,2023-10-12,12,0,
482,DEN,2023-10-07,7,1,2023-11-21
483,PHX,2023-10-01,8,0,
484,GSW,2023-10-17,6,1,2024-01-14
485,SAC,2023-10-14,10,0,
486,MIA,2023-10-21,4,1,2023-12-17
487,MIA,2023-10-02,5,1,2023-11-20
488,LAL,2023-10-09,20,0,
489,SAC,2023-10-08,16,0,
490,PHI,2023-10-16,9,0,
491,MIL,2023-10-17,17,0,
492,DAL,2023-10-20,7,1,2024-01-01
493,SAC,2023-10-17,5,1,2023-11-20
494,BOS,2023-10-27,6,1,2024-01-05
495,MIA,2023-10-09,6,1,2023-11-13
496,MIA,2023-10-17,8,0,
497,ATL,2023-10-14,5,1,2024-01-01
498,MEM,2023-10-12,20,0,
499,PHX,2023-10-11,8,0,
500,NYK,2023-10-21,15,0,
501,CHI,2023-10-15,14,0,
502,TOR,2023-10-15,9,0,
503,LAL,2023-10-23,10,0,
504,BOS,2023-10-21,6,1,2023-11-08
505,DEN,2023-10-26,15,0,
506,NYK,2023-10-09,8,0,
507,LAL,2023-10-12,14,0,
508,MEM,2023-10-03,7,1,2023-11-01
509,BOS,2023-10-10,19,0,
510,NYK,2023-10-07,9,0,
511,HOU,2023-10-28,14,0,
512,MIL,2023-10-19,13,0,
513,PHX,2023-10-04,12,0,
514,LAL,2023-10-11,3,1,2023-12-30
515,MIL,2023-10-23,18,0,
516,ATL,2023-10-23,14,0,
517,PHX,2023-10-09,17,0,
518,DAL,2023-10-10,14,0,
519,MIL,2023-10-06,15,0,
520,CHI,2023-10-25,8,0,
521,BOS,2023-10-05,16,0,
522,SAC,2023-10-08,13,0,
523,MEM,2023-10-16,19,0,
524,PHI,2023-10-22,17,0,
525,MIA,2023-10-15,20,0,
526,TOR,2023-10-16,9,0,
527,SAC,2023-10-04,5,1,2023-10-22
528,PHI,2023-10-17,3,1,2024-01-01
529,CHI,2023-10-03,6,1,2023-11-04
530,CHI,2023-10-22,20,0,
531,PHX,2023-10-04,12,0,
532,DEN,2023-10-15,6,1,2023-12-20
533,SAC,2023-10-28,7,1,2024-01-26
534,PHI,2023-10-04,16,0,
535,PHX,2023-10-07,17,0,
536,MIL,2023-10-23,13,0,
537,MEM,2023-10-26,4,1,2024-01-02
538,MEM,2023-10-07,12,0,
539,TOR,2023-10-06,6,1,2024-01-03
540,BOS,2023-10-12,8,0,
541,HOU,2023-10-04,18,0,
542,PHI,2023-10-12,19,0,
543,DAL,2023-10-23,20,0,
544,DAL,2023-10-02,9,0,
545,TOR,2023-10-23,10,0,
546,CHI,2023-10-15,15,0,
547,MIA,2023-10-17,3,1,2023-11-05
548,GSW,2023-10-28,12,0,
549,MEM,2023-10-22,8,0,
550,LAL,2023-10-21,14,0,
551,DAL,2023-10-22,14,0,
552,PHI,2023-10-24,13,0,
553,HOU,2023-10-14,15,0,
554,BOS,2023-10-19,19,0,
555,CHI,2023-10-14,5,1,2023-12-09
556,DAL,2023-10-14,19,0,
557,DAL,2023-10-22,16,0,
558,PHI,2023-10-10,18,0,
559,ATL,2023-10-14,10,0,
560,DAL,2023-10-12,16,0,
561,CHI,2023-10-09,18,0,
562,MEM,2023-10-20,3,1,2024-01-05
563,ATL,2023-10-15,4,1,2023-11-26
564,TOR,2023-10-15,5,1,2023-11-06
565,MIA,2023-10-22,13,0,
566,DEN,2023-10-01,15,0,
567,ATL,2023-10-06,12,0,
568,BOS,2023-10-12,13,0,
569,PHI,2023-10-27,15,0,
570,CHI,2023-10-14,12,0,
571,CHI,2023-10-23,13,0,
572,GSW,2023-10-08,6,1,2024-01-06
573,DEN,2023-10-22,8,0,
574,MIL,2023-10-14,12,0,
575,HOU,2023-10-19,14,0,
576,CHI,2023-10-26,13,0,
577,NYK,2023-10-08,12,0,
578,DAL,2023-10-09,5,1,2023-11-05
579,LAL,2023-10-06,6,1,2023-12-17
580,NYK,2023-10-12,16,0,
581,TOR,2023-10-03,19,0,
582,PHX,2023-10-28,4,1,2023-12-15
583,TOR,2023-10-06,6,1,2024-01-02
584,ATL,2023-10-18,14,0,
585,NYK,2023-10-17,4,1,2023-11-21
586,MIL,2023-10-18,10,0,
587,NYK,2023-10-05,15,0,
588,SAC,2023-10-27,10,0,
589,MIA,2023-10-27,3,1,2024-01-21
590,MEM,2023-10-22,14,0,
591,DAL,2023-10-18,17,0,
592,PHX,2023-10-26,9,0,
593,MEM,2023-10-01,11,0,
594,BOS,2023-10-18,17,0,
595,DEN,2023-10-27,16,0,
596,ATL,2023-10-22,15,0,
597,HOU,2023-10-17,13,0,
598,TOR,2023-10-22,18,0,
599,DAL,2023-10-05,14,0,
600,HOU,2023-10-06,12,0,
601,DAL,2023-10-04,4,1,2023-12-23
602,MIL,2023-10-11,13,0,
603,TOR,2023-10-11,16,0,
604,TOR,2023-10-16,13,0,
605,DAL,2023-10-05,14,0,
606,TOR,2023-10-15,18,0,
607,NYK,2023-10-12,14,0,
608,CHI,2023-10-11,20,0,
609,TOR,2023-10-12,3,1,2023-10-30
610,HOU,2023-10-12,7,1,2023-12-10
611,MIL,2023-10-17,13,0,
612,CHI,2023-10-06,20,0,
613,MEM,2023-10-22,15,0,
614,DAL,2023-10-02,4,1,2023-11-15
615,CHI,2023-10-21,18,0,
616,DAL,2023-10-21,4,1,2023-11-25
617,ATL,2023-10-17,6,1,2023-11-15
618,ATL,2023-10-01,7,1,2023-12-19
619,HOU,2023-10-19,10,0,
620,SAC,2023-10-02,8,0,
621,DEN,2023-10-18,19,0,
622,MEM,2023-10-26,19,0,
623,PHX,2023-10-05,5,1,2023-11-11
624,CHI,2023-10-25,17,0,
625,DEN,2023-10-11,10,0,
626,DEN,2023-10-09,12,0,
627,MEM,2023-10-10,14,0,
628,MIL,2023-10-24,13,0,
629,ATL,2023-10-11,12,0,
630,MIL,2023-10-14,6,1,2023-11-09
631,DEN,2023-10-25,12,0,
632,DEN,2023-10-08,3,1,2023-11-28
633,TOR,2023-10-11,15,0,
634,TOR,2023-10-12,4,1,2023-11-02
635,NYK,2023-10-05,19,0,
636,SAC,2023-10-25,16,0,
637,TOR,2023-10-25,11,0,
638,ATL,2023-10-06,7,1,2024-01-03
639,MIL,2023-10-25,10,0,
640,BOS,2023-10-14,15,0,
641,MEM,2023-10-25,19,0,
642,ATL,2023-10-03,18,0,
643,DAL,2023-10-22,16,0,
644,CHI,2023-10-18,14,0,
645,TOR,2023-10-25,12,0,
646,ATL,2023-10-26,15,0,
647,GSW,2023-10-27,18,0,
648,NYK,2023-10-21,13,0,
649,DEN,2023-10-25,10,0,
650,MEM,2023-10-20,3,1,2023-12-06
651,NYK,2023-10-04,10,0,
652,TOR,2023-10-12,15,0,
653,NYK,2023-10-03,18,0,
654,NYK,2023-10-06,4,1,2023-11-21
655,ATL,2023-10-02,9,0,
656,DEN,2023-10-20,16,0,
657,MIL,2023-10-15,4,1,2023-12-09
658,LAL,2023-10-27,12,0,
659,SAC,2023-10-25,3,1,2024-01-14
660,MIL,2023-10-03,14,0,
661,MIA,2023-10-08,6,1,2023-12-03
662,LAL,2023-10-21,6,1,2024-01-08
663,SAC,2023-10-08,11,0,
664,TOR,2023-10-24,17,0,
665,DEN,2023-10-04,4,1,2023-12-24
666,BOS,2023-10-23,8,0,
667,SAC,2023-10-26,5,1,2023-12-13
668,DEN,2023-10-15,6,1,2023-12-02
669,PHI,2023-10-12,15,0,
670,PHX,2023-10-06,5,1,2023-11-09
671,MIL,2023-10-21,3,1,2024-01-15
672,MIL,2023-10-23,7,1,2024-01-16
673,SAC,2023-10-24,4,1,2024-01-02
674,MIL,2023-10-26,11,0,
675,MIA,2023-10-24,18,0,
676,SAC,2023-10-25,4,1,2024-01-09
677,CHI,2023-10-20,4,1,2023-11-23
678,PHI,2023-10-24,13,0,
679,CHI,2023-10-16,14,0,
680,NYK,2023-10-12,3,1,2023-12-21
681,SAC,2023-10-19,8,0,
682,GSW,2023-10-15,12,0,
683,HOU,2023-10-08,4,1,2023-11-13
684,LAL,2023-10-06,8,0,
685,DAL,2023-10-10,20,0,
686,HOU,2023-10-28,8,0,
687,PHX,2023-10-09,6,1,2023-12-19
688,LAL,2023-10-21,9,0,
689,SAC,2023-10-11,17,0,
690,PHI,2023-10-05,3,1,2023-11-08
691,SAC,2023-10-21,18,0,
692,LAL,2023-10-22,11,0,
693,MIA,2023-10-27,18,0,
694,TOR,2023-10-15,6,1,2023-11-09
695,MEM,2023-10-01,15,0,
696,DAL,2023-10-26,15,0,
697,NYK,2023-10-19,9,0,
698,MIA,2023-10-01,10,0,
699,ATL,2023-10-23,16,0,
700,DEN,2023-10-28,13,0,
701,PHI,2023-10-03,19,0,
702,ATL,2023-10-05,8,0,
703,HOU,2023-10-14,5,1,2023-12-21
704,LAL,2023-10-17,13,0,
705,SAC,2023-10-13,7,1,2023-12-15
706,MIA,2023-10-05,11,0,
707,GSW,2023-10-10,4,1,2023-12-25
708,LAL,2023-10-11,10,0,
709,MEM,2023-10-05,17,0,
710,MIA,2023-10-22,16,0,
